age,phone_brand,watch_owner,watch_brand,purchase_year,spent_watch,OS_pair,watch_satisfaction,frequency_wear,churn_reasons,intention_buy,intention_when,intention_price,important_reachable,important_fitnesstrack,important_voicecommands,important_sleep,important_emergency,important_payment,important_smartdevices,important_productive,important_phone_disconnect,important_fashionable,important_navigation,interested_apple,interested_samsung,interested_google,interested_amazon,interested_fitbit,interested_fossil,digital_fluency,innovators,vigorous_activities,strength_training,moderate_activities,light_activities,meditation,outdoor_activities,goal_active_lifestyle,goal_optimize_fitness,goal_mindfulness,goal_health,goals_juggling,transport_walk,transport_cycle,transport_drive,transport_train,transport_bus,transport_taxi,phone_navigate,situation1,situation2
21 - 24,Apple iPhone,Yes,Fitbit,2020,ÃÂ£150 - ÃÂ£199,iOS,Somewhat satisfied,A few times a week,compatibility,Strongly Considering,In 7 to 12 months,Â£250 - Â£299,Very important,Extremely Important,Moderately important,Very important,Moderately important,Moderately important,Slightly important,Very important,Moderately important,Very important,Moderately important,Very interested,Very interested,Extremely interested,Slightly interested,Very interested,Somewhat interested,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",At least once a week,At least once a week,Several times a month,Several times a week,At least once a month,At least once a week,Somewhat agree,Strongly agree,Neutral,Somewhat disagree,Strongly disagree,A few times a week,Rarely,Rarely,A few times a month,A few times a month,Rarely,A few times a month,Living with significant other,NULL
25 - 34,Google Pixel,No,NaN,NaN,NaN,NaN,NaN,NaN,lack of features,Slightly Considering,In 4 to 6 months,Â£149 or less,Not at all important,Extremely Important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Not at all important,Moderately important,Very important,Moderately important,Somewhat interested,Somewhat interested,Extremely interested,Not interested at all,Extremely interested,Extremely interested,Neutral,Once many people are using it,At least once a month,Never,At least once a week,Several times a week,At least once a month,At least once a month,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,A few times a week,Not at all,Not at all,A few times a week,A few times a week,Rarely,A few times a week,Living with significant other,NULL
25 - 34,Google Pixel,No,NaN,NaN,NaN,NaN,NaN,NaN,lack of features,Slightly Considering,In 4 to 6 months,Â£149 or less,Not at all important,Extremely Important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Not at all important,Moderately important,Very important,Moderately important,Somewhat interested,Somewhat interested,Extremely interested,Not interested at all,Extremely interested,Extremely interested,Neutral,Once many people are using it,At least once a month,Never,At least once a week,Several times a week,At least once a month,At least once a month,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,A few times a week,Not at all,Not at all,A few times a week,A few times a week,Rarely,A few times a week,Living with significant other,NULL
21 - 24,Samsung Galaxy,Yes,Samsung,2021,ÃÂ£200 - ÃÂ£249,Android,Very satisfied,Daily,lack of features,Slightly Considering,In 4 to 6 months,Not sure,Extremely Important,Very important,Very important,Very important,Moderately important,Extremely Important,Very important,Very important,Extremely Important,Moderately important,Moderately important,Somewhat interested,Extremely interested,Very interested,Slightly interested,Somewhat interested,Don't know,I give others advice when they are looking to buy technology or electronics products,Among the first people,Never,Less often than once a month,Several times a month,At least once a week,Several times a month,Less often than once a month,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Neutral,A few times a week,Not at all,Rarely,A few times a month,A few times a month,Rarely,A few times a week,Living with significant other,NULL
25 - 34,Google Pixel,No,NaN,NaN,NaN,NaN,NaN,NaN,lack of features,Slightly Considering,In 4 to 6 months,Â£149 or less,Not at all important,Extremely Important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Not at all important,Moderately important,Very important,Moderately important,Somewhat interested,Somewhat interested,Extremely interested,Not interested at all,Extremely interested,Extremely interested,Neutral,Once many people are using it,At least once a month,Never,At least once a week,Several times a week,At least once a month,At least once a month,Strongly agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,A few times a week,Not at all,Not at all,A few times a week,A few times a week,Rarely,A few times a week,Living with significant other,NULL
45 - 54,Google Pixel,Yes,Withings,2019,ÃÂ£200 - ÃÂ£249,Android,Somewhat satisfied,Daily,compatibility,Strongly Considering,When the right model comes out,Â£250 - Â£299,Very important,Extremely Important,Not at all important,Extremely Important,Slightly important,Moderately important,Moderately important,Extremely Important,Slightly important,Moderately important,Moderately important,Somewhat interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Among the first people,Several times a week,Never,Several times a week,Daily,Several times a week,Less often than once a month,Strongly agree,Strongly agree,Neutral,Somewhat disagree,Strongly agree,Everyday,A few times a week,A few times a week,A few times a week,Not at all,Not at all,Not at all,Living with significant other,Living with children
25 - 34,Google Pixel,Yes,Forerunner,2020,ÃÂ£150 - ÃÂ£199,Android,Very satisfied,Daily,cost,Slightly Considering,In 7 to 12 months,Â£200 - Â£249,Moderately important,Very important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Moderately important,Very important,Very important,Very interested,Very interested,Very interested,Slightly interested,Very interested,Slightly interested,Neutral,Once many people are using it,Several times a week,At least once a week,At least once a week,At least once a week,Several times a month,Several times a month,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,A few times a week,A few times a week,Not at all,A few times a week,A few times a week,A few times a week,A few times a week,Living with house mates,NULL
45 - 54,Google Pixel,Yes,Withings,2019,ÃÂ£200 - ÃÂ£249,Android,Somewhat satisfied,Daily,compatibility,Strongly Considering,When the right model comes out,Â£250 - Â£299,Very important,Extremely Important,Not at all important,Extremely Important,Slightly important,Moderately important,Moderately important,Extremely Important,Slightly important,Moderately important,Moderately important,Somewhat interested,Extremely interested,Extremely interested,Extremely interested,Extremely interested,Not interested at all,I give others advice when they are looking to buy technology or electronics products,Among the first people,Several times a week,Never,Several times a week,Daily,Several times a week,Less often than once a month,Strongly agree,Strongly agree,Neutral,Somewhat disagree,Strongly agree,Everyday,A few times a week,A few times a week,A few times a week,Not at all,Not at all,Not at all,Living with significant other,Living with children
45 - 54,Apple iPhone,Yes,,2020,ÃÂ£450 - ÃÂ£499,iOS,Very satisfied,Daily,battery life,Not at all Considering,NaN,NaN,Slightly important,Very important,Moderately important,Moderately important,Slightly important,Very important,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Very interested,Not interested at all,Very interested,Not interested at all,Not interested at all,Not interested at all,I give others advice when they are looking to buy technology or electronics products,"Sooner than most people, but not among the first",Several times a week,Never,Several times a week,Several times a week,Several times a month,Less often than once a month,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Everyday,Not at all,Rarely,A few times a month,A few times a month,Rarely,A few times a month,Living with significant other,Living with children
25 - 34,Apple iPhone,Yes,Apple,2021,ÃÂ£400 - ÃÂ£449,iOS,Very satisfied,Daily,compatibility,Slightly Considering,In 1 to 2 years,Â£400 - Â£449,Slightly important,Extremely Important,Moderately important,Extremely Important,Extremely Important,Very important,Very important,Moderately important,Moderately important,Not at all important,Moderately important,Very interested,Slightly interested,Very interested,Not interested at all,Very interested,Not interested at all,Neutral,"Sooner than most people, but not among the first",At least once a week,Several times a month,Daily,Daily,Several times a month,Less often than once a month,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Everyday,Rarely,Not at all,A few times a week,A few times a week,Rarely,A few times a month,Living alone,NULL
25 - 34,Samsung Galaxy,Yes,Garmin,2021,ÃÂ£150 - ÃÂ£199,Android,Somewhat satisfied,Daily,lack of customization,Slightly Considering,In 1 to 2 years,Â£150 - Â£199,Not at all important,Very important,Not at all important,Very important,Not at all important,Slightly important,Not at all important,Moderately important,Very important,Moderately important,Very important,Somewhat interested,Very interested,Extremely interested,Not interested at all,Very interested,Slightly interested,I give others advice when they are looking to buy technology or electronics products,Among the first people,At least once a month,Less often than once a month,At least once a month,Several times a week,Several times a month,At least once a month,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Everyday,A few times a month,Not at all,Everyday,A few times a month,Rarely,A few times a week,Living alone,NULL
